service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170917,20180120
2,0,0,0,0,0,1,0,20170917,20180120
3,0,0,0,0,0,0,1,20170917,20180120
4,0,0,0,0,0,0,0,20170917,20180120
601,0,0,0,0,0,0,0,20170917,20180120
801,0,0,0,0,0,0,0,20170917,20180120
2901,0,0,0,0,0,0,0,20170917,20180120
3101,0,0,0,0,0,0,0,20170917,20180120
